place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,confidence_high,popularity_score
Homestay,homestay,4,742400,21200000,42900,,https://www.tiktok.com/@dihetdalat/video/7437476244918127890,4,2902.4
Miền Du Mục,địa điểm checkin,3,335225,2685200,146700,,https://www.tiktok.com/@dicungdalat/video/7554906368231132424,3,633.75
Cafe May,cafe,1,103600,4800000,222100,,https://www.tiktok.com/@dichoimoingay/video/7374265816323198226,1,593.6
Cơm Lam Gà Nướng (Suối Bình Yên),chợ quán,1,61600,3600000,123200,,https://www.tiktok.com/@tiktokgapgiquaydo/video/7493127305120845064,1,431.6
Rừng Mơ,thiên nhiên,2,146434,2080700,25300,,https://www.tiktok.com/@cfrungmo/video/7615480335249198357,2,374.5
Happy Hill,cafe,3,69204,2178892,1300000,,https://www.tiktok.com/@happyhillcoffee/video/7638446340753591573,3,317.09
Tiệm cà phê Miền Du Mục,cafe,1,41700,2100000,123300,,https://www.tiktok.com/@tiktokgapgiquaydo/video/7571609207460482322,1,261.7
Lang Farm Center,địa điểm checkin,1,38700,2100000,242500,,https://www.tiktok.com/@du_lich_dalat/video/7508576445141208338,1,258.7
Săn Mây,địa điểm checkin,1,56500,1600000,245400,,https://www.tiktok.com/@chuyencuanang5/video/7572761517645417749,1,226.5
Cà phê Bản Lèo,cafe,3,37966,1008600,568600,,https://www.tiktok.com/@suoibinhyen/video/7596534131127749909,3,168.83
Quán ăn khuya Phung Lai,chợ quán,1,58200,959900,3600000,,https://www.tiktok.com/@phunglai2222/video/7514281689141546248,0,164.19
Quán cafe tone đen xịn nhất ở Đà Lạt,cafe,1,31700,1200000,222100,,https://www.tiktok.com/@dichoimoingay/video/7360554249291353352,0,161.7
Sola Cafe Dalat,cafe,1,38500,1100000,60300,,https://www.tiktok.com/@chulamreview/video/7634093050142149895,0,158.5
Quán cafe tựa bước ra từ cổ tích,cafe,1,17600,1100000,214600,,https://www.tiktok.com/@hifasne/video/7475687967948967176,1,137.6
Vườn hoa cúc hoạ mi,thiên nhiên,1,29800,845300,216400,,https://www.tiktok.com/@dalatstatus/video/7327589103120223506,1,124.33
Rừng Na Uy,thiên nhiên,1,29700,659100,524,,https://www.tiktok.com/@quanhchilllamm/video/7593951981899631880,1,105.61
Laughekimchi,chợ quán,1,18100,718400,177400,,https://www.tiktok.com/@kuti20297/video/7555868969111014664,1,99.94
Cafe Năng Thủy Tinh,cafe,1,39900,496400,5110,,https://www.tiktok.com/@tiemcaffehoibichii/video/7613189551829404948,1,99.54
Bánh canh cua Luxury,chợ quán,1,13000,716100,177400,,https://www.tiktok.com/@kuti20297/video/7463821415771278610,1,94.61
Happy Hill Coffee,cafe,3,19096,414700,71500,,https://www.tiktok.com/@mememetyty/video/7625207356271365396,3,90.57
Dưới tán anh đào,cafe,1,35300,385800,19600,,https://www.tiktok.com/@duoitananhdao/video/7632578262715157767,1,83.88
Thôn 330,thiên nhiên,1,31600,406900,482300,,https://www.tiktok.com/@ngocduy_diachianuong/video/7514908810608168200,1,82.29
Miendumuc,cafe,1,50700,207600,146700,,https://www.tiktok.com/@min.du.mc/video/7635592961463569685,0,81.46
Nao Ranh Cafe,cafe | địa điểm checkin,1,10400,602100,81600,,https://www.tiktok.com/@naoranhcaphe/video/7585400904535297296,1,80.61
Tháp truyền hình,địa điểm checkin,1,16000,487600,4566,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.76
Biệt thự đồi Robin,địa điểm checkin,1,16000,487600,4566,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.76
Cung đường Bắc Âu,địa điểm checkin,1,16000,487600,4566,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.76
Bức tường Hàn Quốc,địa điểm checkin,1,16000,487600,4566,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.76
Góc Dã Tượng và Yết Kiêu,địa điểm checkin,1,16000,487600,4566,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.76
Cung đường Hàn Thuyên,địa điểm checkin,1,16000,487600,4566,,https://www.tiktok.com/@tiemcomganh/video/7590616146706042132,1,74.76
Fairytale Land,địa điểm checkin,1,31900,226400,16000,,https://www.tiktok.com/@dalat_fairytale_land/video/7448631956603981074,1,64.54
REO Campsite,địa điểm checkin,1,13900,400200,102900,,https://www.tiktok.com/@reodalat/video/7494138513517071624,1,63.92
Tiệm nướng local,khác,1,10300,398900,59800,,https://www.tiktok.com/@hoanganhdidau/video/7592237795184348424,0,60.19
